nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
OSP Mielnik;PODLASKIE;siemiatycki;Mielnik;Mielnik;Bugowa;10;52.3291767;23.0462347
Ochotnicza Straż Pożarna Resko;ZACHODNIOPOMORSKIE;łobeski;Resko;Resko;Tadeusza Kościuszki;26;53.7754211;15.407867025564379
OSP KSRG w Białaszewie;PODLASKIE;grajewski;Grajewo;Białaszewo;Lipowa;2;53.50668175;22.504875190464453
OSP Moszczona Królewska;PODLASKIE;siemiatycki;Mielnik;Moszczona Królewska;;1;52.37757875;22.999576487423518
OSP BUBELE;PODLASKIE;sejneński;Sejny;Bubele;;11.kwi;54.1678742;23.3636889
Ochotnicza Straż Pożarna Węgorzyno;ZACHODNIOPOMORSKIE;łobeski;Węgorzyno;Węgorzyno;Runowska;40;53.54414055;15.554419837398374
OSP Głowno;ŁÓDZKIE;zgierski;Głowno;Głowno;Złota;1;51.96665695;19.717723246089307
OSP  Nurzec Stacja;PODLASKIE;siemiatycki;Nurzec-Stacja;Nurzec-Stacja;Nowa;1;52.4613846;23.0836062
OSP DŁUGOŁĘKA;PODLASKIE;moniecki;Krypno;Długołęka;;49;52.32871;19.47558
OSP Siemichocze;PODLASKIE;siemiatycki;Nurzec-Stacja;Siemichocze;;57;52.42837;23.18914
OSP KRYPNO;PODLASKIE;moniecki;Krypno;Krypno Wielkie;;3;53.2767426;22.870121172640815
OSP KSRG w Boczkach-Świdrowo;PODLASKIE;grajewski;Grajewo;Boczki-Świdrowo;;3;53.598970699999995;22.37284525170395
OSP KRASNOPOL;PODLASKIE;sejneński;Krasnopol;Krasnopol;;1;54.10367;23.19167
OSP Stryków;ŁÓDZKIE;zgierski;Stryków;Stryków;Targowa;19;51.8979885;19.60333724122183
OSP TRZCIANNE;PODLASKIE;moniecki;Trzcianne;Trzcianne;Wojska Polskiego;10;53.3429692;22.6792325
OSP MAĆKOWA RUDA;PODLASKIE;sejneński;Krasnopol;Maćkowa Ruda;;30;54.0558256;23.17564375409235
OSP Parzęczew;ŁÓDZKIE;zgierski;Parzęczew;Parzęczew;Ozorkowska;3;51.9485665;19.2074271
OSP KSRG w Ciemnoszyjach;PODLASKIE;grajewski;Grajewo;Ciemnoszyje;;54;53.53667525;22.553122226444444
OSP PUŃSK;PODLASKIE;sejneński;Puńsk;Puńsk;Strażacka;17;54.2533602;23.176182
OSP Kadłub;OPOLSKIE;strzelecki;Strzelce Opolskie;Kadłub;Powstańców Śląskich;28;50.6129049;18.263129940458256
OSP Leśnica;OPOLSKIE;strzelecki;Leśnica;Leśnica;Strażacka;1;50.4312581;18.1875366
OSP KSRG w Grajewie;PODLASKIE;grajewski;Grajewo;Grajewo;Ełcka;30;53.6522095;22.45476870715451
OSP Raszowa;OPOLSKIE;strzelecki;Leśnica;Raszowa;Góry Św. Anny;97;50.3925454;18.1742428
OSP Biała;ŁÓDZKIE;zgierski;Zgierz;Biała;Kościelna;2;50.880369349999995;19.052755548245297
OSP Kolonowskie;OPOLSKIE;strzelecki;Kolonowskie;Kolonowskie;Leśna;6b;50.6550476;18.38513484456847
JRG Głubczyce;OPOLSKIE;głubczycki;Głubczyce;Głubczyce;Kołłątaja;4;50.19484645;17.832528222096812
OSP KSRG w Klimaszewnicy;PODLASKIE;grajewski;Radziłów;Klimaszewnica;;89;53.4699126;22.498843298763866
OSP Staniszcze Wielkie;OPOLSKIE;strzelecki;Kolonowskie;Staniszcze Wielkie;Plac Targowy;8:00 AM;50.6478911;18.349481
OSP Ujazd;OPOLSKIE;strzelecki;Ujazd;Ujazd;Plac Zamkowy;2;50.3904505;18.3497179
OSP Kalinowice;OPOLSKIE;strzelecki;Strzelce Opolskie;Kalinowice;Wiejska;3;50.5062251;18.1802481
OSP Izbicko;OPOLSKIE;strzelecki;Izbicko;Izbicko;Powstańców Śląskich;49;50.576004499999996;18.15695806426332
OSP Krośnica;OPOLSKIE;strzelecki;Izbicko;Krośnica;Wiejska;56;50.6130037;18.188248421996818
OSP Łaziska;OPOLSKIE;strzelecki;Jemielnica;Łaziska;Rynek;4;50.58490865;18.36655690789717
OSP CISEK;OPOLSKIE;kędzierzyńsko-kozielski;Cisek;Cisek;Planetorza;30;50.2813197;18.2019991
OSP KSRG w Rajgrodzie;PODLASKIE;grajewski;Rajgród;Rajgród;Warszawska;64A;53.72986385;22.697750178243957
OSP KSRG w Szczuczynie;PODLASKIE;grajewski;Szczuczyn;Szczuczyn;Strażacka;2;53.56192505;22.285642947005208
OSP KŁODNICA;OPOLSKIE;kędzierzyńsko-kozielski;Kędzierzyn-Koźle;Kędzierzyn-Koźle;Kłodnicka;23;50.3487064;18.1686425
OSP MIEJSCE KŁODNICKIE;OPOLSKIE;kędzierzyńsko-kozielski;Kędzierzyn-Koźle;Kędzierzyn-Koźle;Szpaków;11;50.3770215;18.2681727
OSP KSRG w Wąsoszu;PODLASKIE;grajewski;Wąsosz;Wąsosz;Piaskowa;1;53.5201642;22.3155804
OSP SŁAWIĘCICE;OPOLSKIE;kędzierzyńsko-kozielski;Kędzierzyn-Koźle;Kędzierzyn-Koźle;Sławięcicka;18;50.3720626;18.3223538
OSP KSRG w Żebrach;PODLASKIE;grajewski;Wąsosz;Żebry;;23;53.4822999;22.364237465846337
