nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
Ochotnicza Straż Pożarna Stolarzowice;ŚLĄSKIE;Bytom;Bytom;Bytom;Stanisława Witkiewicza;1;50.3895397;18.8197651
OSP GOLASOWICE;ŚLĄSKIE;pszczyński;Pawłowice;Golasowice;Kraszewskiego;2;49.91735;18.68635
OSP Bojszowy Nowe;ŚLĄSKIE;bieruńsko-lędziński;Bojszowy;Bojszowy Nowe;Ruchu Oporu;100;50.0455842;19.0639617
Ochotnicza Straż Pożarna w Szczerbicach;ŚLĄSKIE;rybnicki;Gaszowice;Szczerbice;Radoszowska;7;50.10269045;18.450248100924895
Ochotnicza Straż Pożarna Biertułtowy;ŚLĄSKIE;wodzisławski;Radlin;Radlin;Józefa Rymera;15b;50.0467904;18.4737467
OSP Bojszowy;ŚLĄSKIE;bieruńsko-lędziński;Bojszowy;Bojszowy;Świętego Jana;46;50.0582943;19.0948136
OSP PIELGRZYMOWICE;ŚLĄSKIE;pszczyński;Pawłowice;Pielgrzymowice;Zebrzydowicka;14;49.9004857;18.6550721
OSP Bieruń Nowy;ŚLĄSKIE;bieruńsko-lędziński;Bieruń;Bieruń;Remizowa;19;50.0746223;19.1817743
Ochotnicza Straż Pożarna w Świerklanach;ŚLĄSKIE;rybnicki;Świerklany;Świerklany;Strażacka;1;50.0214317;18.57993509538067
Komenda Miejska Państwowej Straży Pożarnej w Bytomiu;ŚLĄSKIE;Bytom;Bytom;Bytom;Strażacka;3;50.3479321;18.923057
OSP Bieruń Stary;ŚLĄSKIE;bieruńsko-lędziński;Bieruń;Bieruń;Oświęcimska;453;50.0944703;19.091831978621027
OSP WARSZOWICE;ŚLĄSKIE;pszczyński;Pawłowice;Warszowice;Cieszyńska;2;49.98935;18.71179
OSP MIEDŹNA;ŚLĄSKIE;pszczyński;Miedźna;Miedźna;Wiejska;131;49.9695216;19.052857769490963
OSP WOLA;ŚLĄSKIE;pszczyński;Miedźna;Wola;Wałowa;10;50.0155314;19.1249157
Ochotnicza Straż Pożarna w Zwonowicach;ŚLĄSKIE;rybnicki;Lyski;Zwonowice;Sumińska;9 B;50.1365343;18.4227704
OSP GÓRA;ŚLĄSKIE;pszczyński;Miedźna;Góra;Rybacka;3;50.776111900000004;15.746104200773738
KOMENDA WOJEWÓDZKA POLICJI W POZNANIU;WIELKOPOLSKIE;Poznań;Poznań-Jeżyce;Poznań;Jana Kochanowskiego;2A;52.4130213;16.9103292
KOMENDA POWIATOWA PAŃSTWOWEJ STRAŻY POŻARNEJ W PSZCZYNIE;ŚLĄSKIE;pszczyński;Pszczyna;Pszczyna;Górnośląska;7;49.9704867;18.95736537591547
OSP MIZERÓW;ŚLĄSKIE;pszczyński;Suszec;Mizerów;Wyzwolenia;279;49.9898829;18.7958832
Jednostka Ratowniczo - Gaśniczna nr 1 w Gliwicach;ŚLĄSKIE;Gliwice;Gliwice;Gliwice;Wrocławska;1;50.29275145;18.67441704999999
Jednostka Ratowniczo - Gaśnicza nr 2 w Gliwicach;ŚLĄSKIE;Gliwice;Gliwice;Gliwice;Wrocławska;1;50.29275145;18.67441704999999
OSP RUDZICZKA;ŚLĄSKIE;pszczyński;Suszec;Rudziczka;Pszczyńska;24;50.0353801;18.7609337
Ochotnicza Straż Pożarna w Knurowie;ŚLĄSKIE;gliwicki;Knurów;Knurów;1 Maja;11;50.2248792;18.6697317
Ochotnicza Straż Pożarna w Chudowie;ŚLĄSKIE;gliwicki;Gierałtowice;Chudów;Szkolna;54a;50.2056836;18.7823361
Ochotnicza Straż Pożarna w Pilchowicach;ŚLĄSKIE;gliwicki;Pilchowice;Pilchowice;Strażaków;3;50.2160175;18.5634239
Jednostka Ratowniczo - Gaśnicza w Knurowie;ŚLĄSKIE;Gliwice;Gliwice;Gliwice;Wrocławska;1;50.29275145;18.67441704999999
Ochotnicza Straż Pożarna w Wilczej;ŚLĄSKIE;gliwicki;Pilchowice;Wilcza;Karola Miarki;123;50.1887613;18.5959022
Ochotnicza Straż Pożarna w Toszku;ŚLĄSKIE;gliwicki;Toszek;Toszek;Młyńska;11;50.4565;18.52093
Ochotnicza Straż Pożarna Wielowieś;ŚLĄSKIE;gliwicki;Wielowieś;Wielowieś;Parkowa;10;50.508917;18.5328826
Ochotnicza Straż Pożarna Świbie;ŚLĄSKIE;gliwicki;Wielowieś;Świbie;Parkowa;10;50.508917;18.5328826
Ochotnicza Straż Pożarna w Międzybrodziu Żywieckim;ŚLĄSKIE;żywiecki;Czernichów;Międzybrodzie Żywieckie;Beskidzka;14;49.7666891;19.2137289
Ochotnicza Straż Pożarna w Międzybrodziu Bialskim;ŚLĄSKIE;żywiecki;Czernichów;Międzybrodzie Bialskie;Strażacka;7;49.78663;19.19522
Komenda Powiatowa Państwowej Straży Pożarnej w Żywcu;ŚLĄSKIE;żywiecki;Żywiec;Żywiec;Objazdowa;2;49.6826379;19.1883995
Ochotnicza Straż Pożarna w Gilowicach;ŚLĄSKIE;żywiecki;Gilowice;Gilowice;Strażacka;2;49.711627;19.3120273
Ochotnicza Straż Pożarna w Jeleśni;ŚLĄSKIE;żywiecki;Jeleśnia;Jeleśnia;Strażacka;1;49.629310950000004;19.3306096266147
Ochotnicza Straż Pożarna Międzyrzecze;ŚLĄSKIE;bieruńsko-lędziński;Bojszowy;Międzyrzecze;Żubrów;23;50.021913850000004;19.064745199999997
Ochotnicza Straż Pożarna w Lipowej;ŚLĄSKIE;żywiecki;Lipowa;Lipowa;;252;50.0098911;19.5576942
Ochotnicza Straż Pożarna w Łękawicy;ŚLĄSKIE;żywiecki;Łękawica;Łękawica;Wspólna;26;49.72184;19.26434
Ochotnicza Straż Pożarna w Łodygowicach;ŚLĄSKIE;żywiecki;Łodygowice;Łodygowice;Żywiecka;84;49.72437695;19.136942193182975
Ochornicza Straż Pożarna w Milówce;ŚLĄSKIE;żywiecki;Milówka;Milówka;Dworcowa;21;49.555972;19.0932322
Ochornicza Straż Pożarna w Pewli Małej;ŚLĄSKIE;żywiecki;Świnna;Pewel Mała;Żywiecka;98;49.661849;19.2840384
Ochotnicza Straż Pożarna w Pewli Wielkiej;ŚLĄSKIE;żywiecki;Jeleśnia;Pewel Wielka;;55;49.65899;19.35068
Ochotnicza Straż Pożarna w Pietrzykowicach;ŚLĄSKIE;żywiecki;Łodygowice;Pietrzykowice;Jana Pawła II;91;49.6967818;19.1614401
Ochotnicza Straż Pożarna w Radziechowach;ŚLĄSKIE;żywiecki;Radziechowy-Wieprz;Radziechowy;św. Marcina;23;49.64700635;19.128110302739728
Ochotnicza Straż Pożarna w Rajczy;ŚLĄSKIE;żywiecki;Rajcza;Rajcza;Parkowa;1;49.50393305;19.100108999635786
Ochotnicza Straż Pożarna w Rycerce Dolnej;ŚLĄSKIE;żywiecki;Rajcza;Rycerka Dolna;;30A;49.4985978;19.08989699001421
Ochotnicza Straż Pożarna w Rychwałdzie;ŚLĄSKIE;żywiecki;Gilowice;Rychwałd;Beskidzka;41;49.6997358;19.2696324
Ochotnicza Straż Pożarna w Słotwinie;ŚLĄSKIE;żywiecki;Lipowa;Słotwina;Księdza Jerzego Popiełuszki;90;49.70109;19.07868
Ochotnicza Straż Pożarna w Sopotni Małej;ŚLĄSKIE;żywiecki;Jeleśnia;Sopotnia Mała;;389;49.6149054;19.275872
Ochotnicza Staż Pożarna Jastrzębie Bzie;ŚLĄSKIE;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Rostków;7;49.9367446;18.64568410881089
Ochotnicza Straż Pożarna Jastrzębie Górne;ŚLĄSKIE;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Pszczyńska;140;49.9586237;18.6493147
Ochotnicza Straż Pożarna Jastrzębie Ruptawa;ŚLĄSKIE;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Cieszyńska;101a;49.9493286;18.5900062
Ochotnicza Straż Pożarna Jastrzębie Moszczenica;ŚLĄSKIE;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Komuny Paryskiej;16;49.93883275;18.543661152113703
Ochotnicza Straż Pożarna Jastrzębie Szeroka;ŚLĄSKIE;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Gagarina;130;49.98787085;18.627819480307295
Ochotnicza Straż Pożarna Jastrzębie Zdrój;ŚLĄSKIE;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Władysława Jagiełły;4;49.938388599999996;18.583425592784074
Komenda Miejska Państwowej Straży Pożarnej w Jastrzębiu-Zdroju;ŚLĄSKIE;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Jastrzębie-Zdrój;Władysława Jagiełły;4;49.938388599999996;18.583425592784074
JRG 1 KATOWICE SZOPIENICE;ŚLĄSKIE;Katowice;Katowice;Katowice;Krakowska;130;50.2549138;19.088871408495145
JRG 2 KATOWICE PIOTROWICE;ŚLĄSKIE;Katowice;Katowice;Katowice;Tadeusza Kościuszki;189;50.212087100000005;18.970317621047716
JRG 3 KATOWICE CENTRUM;ŚLĄSKIE;Katowice;Katowice;Katowice;WOJEWÓDZKA;11;50.2560944;19.0223542
OSP DĄBRÓWKA MAŁA;ŚLĄSKIE;Katowice;Katowice;Katowice;Strzelców Bytomskich;33;50.2793543;19.0682017
Ochotnicza Straż Pożarna w Ślemieniu;ŚLĄSKIE;żywiecki;Ślemień;Ślemień;Spacerowa;3;49.7199239;19.3756396
Ochotnicza Straż Pożarna w Świnnej;ŚLĄSKIE;żywiecki;Świnna;Świnna;Wspólna;13;49.6633591;19.2571443
Ochotnicza Straż Pożarna w Ujsołach;ŚLĄSKIE;żywiecki;Ujsoły;Ujsoły;Księdza Prałata Piotrowskiego;28;49.4820679;19.1394973
Ochotnicza Straż Pożarna Widów;ŚLĄSKIE;gliwicki;Rudziniec;Widów;Stawowa;2;50.41219;18.4301
Ochotnicza Straż Pożarna w Wieprzu;ŚLĄSKIE;żywiecki;Radziechowy-Wieprz;Wieprz;Żywiecka;1;49.6472801;19.1669408
Ochotnicza Straż Pożarna w Zwardoniu;ŚLĄSKIE;żywiecki;Rajcza;Zwardoń;;4b;49.50376105;18.977558899106192
Ochotnicza Straż Pożarna Gliwice-Bojków;ŚLĄSKIE;Gliwice;Gliwice;Gliwice;Rolników;221;50.2532766;18.6860923
Ochotnicza Straż Pożarna Żywiec-Oczków;ŚLĄSKIE;żywiecki;Żywiec;Żywiec;Suska;19;49.72373615;19.236226730007985
Ochotnicza Straż Pożarna w Żywcu-Sporyszu;ŚLĄSKIE;żywiecki;Żywiec;Żywiec;Sporyska;37;49.6723338;19.21465
Ochotnicza Straż Pożarna w Ciścu;ŚLĄSKIE;żywiecki;Węgierska Górka;Cisiec;Prymasa Stefana Wyszyńskiego;195;49.5842163;19.1026846
OSP BARGŁY;ŚLĄSKIE;częstochowski;Poczesna;Bargły;Śląska;84;50.7069017;19.1248757452085
OSP Boronów;ŚLĄSKIE;lubliniecki;Boronów;Boronów;Poznańska;1;50.6748975;18.9064283
OSP Ciasna;ŚLĄSKIE;lubliniecki;Ciasna;Ciasna;Zjednoczenia;2a;50.75375175;18.61089954975674
Ochotnicza Straż Pożarna Kończyce Małe;ŚLĄSKIE;cieszyński;Zebrzydowice;Kończyce Małe;Janusza Korczaka;39;49.8587495;18.6305512
Ochotnicza Straż Pożarna Przyszowice;ŚLĄSKIE;gliwicki;Gierałtowice;Przyszowice;Szkolna;6;50.2490377;18.7434751
OSP BLACHOWNIA;ŚLĄSKIE;częstochowski;Blachownia;Blachownia;Plac Wolności;2;50.78471855;18.963067232622983
Ochotnicza Straż Pożarna Zebrzydowice;ŚLĄSKIE;cieszyński;Zebrzydowice;Zebrzydowice;Jana Kochanowskiego;26;49.8767225;18.6131718
OSP Sieraków Śląski;ŚLĄSKIE;lubliniecki;Ciasna;Sieraków Śląski;Wyzwolenia;7;50.8017589;18.576828581676132
Ochotnicza Straż Pożarna Paniówki;ŚLĄSKIE;gliwicki;Gierałtowice;Paniówki;Dworska;31;50.2285779;18.7749376
OSP Hadra;ŚLĄSKIE;lubliniecki;Herby;Hadra;Piaskowa;2;50.6951113;18.83514445790211
Ochotnicza Straż Pożarna Kaczyce;ŚLĄSKIE;cieszyński;Zebrzydowice;Kaczyce;Harcerska;8;49.8322864;18.5910822
Ochotnicza Straż Pożarna Cieszyn Bobrek;ŚLĄSKIE;cieszyński;Cieszyn;Cieszyn;Tadeusza Kościuszki;3;49.7519371;18.6510589
Ochotnicza Straż Pożarna w Puńcowie;ŚLĄSKIE;cieszyński;Goleszów;Puńców;Cieszyńska;98;49.7178611;18.6650687
OSP Kalina;ŚLĄSKIE;lubliniecki;Herby;Kalina;Józefa Lompy;6a;50.733747699999995;18.8859494592598
Ochotnicza Straż Pożarna w Skoczowie;ŚLĄSKIE;cieszyński;Skoczów;Skoczów;Cieszyńska;10;49.800928;18.7867026
Ochotnicza Straż Pożarna Żernica;ŚLĄSKIE;gliwicki;Pilchowice;Żernica;Szafranka;7;50.246605599999995;18.61519978871192
OSP CISIE;ŚLĄSKIE;częstochowski;Blachownia;Cisie;Cisiańska;63;50.78270705;18.8996188
OSP Lisów;ŚLĄSKIE;lubliniecki;Herby;Lisów;Budowlanych;2a;50.7286937;18.794279
OCHOTNICZA STRAŻ POŻARNA W USTRONIU-NIERODZIMIU;ŚLĄSKIE;cieszyński;Ustroń;Ustroń;Szeroka;5;49.7607254;18.8028797
OCHOTNICZA STRAŻ POŻARNA USTROŃ-CENTRUM;ŚLĄSKIE;cieszyński;Ustroń;Ustroń;Strażacka;5;49.7228784;18.809554
OSP Olszyna;ŚLĄSKIE;lubliniecki;Herby;Olszyna;Klonowa;3;50.717964300000006;18.892688214512823
OCHOTNICZA STRAŻ POŻARNA KONIAKÓW-CENTRUM;ŚLĄSKIE;cieszyński;Istebna;Koniaków;;625;49.55215285;18.945725486628074
OCHOTNICZA STRAŻ POŻARNA ISTEBNA-CENTRUM;ŚLĄSKIE;cieszyński;Istebna;Istebna;;600;49.5748339;18.8935401
OSP Kochanowice;ŚLĄSKIE;lubliniecki;Kochanowice;Kochanowice;Lubliniecka;5;50.7060274;18.7494249
OCHOTNICZA STRAŻ POŻARNA GOLESZÓW;ŚLĄSKIE;cieszyński;Goleszów;Goleszów;Szkolna;7;49.73704025;18.737943927060762
OCHOTNICZA STRAŻ POŻARNA W CISOWNICY;ŚLĄSKIE;cieszyński;Goleszów;Cisownica;Cisowa;77;49.7169806;18.7614211
OCHOTNICZA STRAŻ POŻARNA Ustroń Polana;ŚLĄSKIE;cieszyński;Ustroń;Ustroń;Wczasowa;1;49.6941627;18.8325899
OSP Kochcice;ŚLĄSKIE;lubliniecki;Kochanowice;Kochcice;Parkowa;25;50.707008;18.6851725
Ochotnicza Straż Pożarna Trachy;ŚLĄSKIE;gliwicki;Sośnicowice;Trachy;Raciborska;31;50.25470765;18.513982353868446
OSP Koszęcin;ŚLĄSKIE;lubliniecki;Koszęcin;Koszęcin;Sienkiewicza;1a;50.6376095;18.8455941
Ochotnicza Straż Pożarna w Ochabach;ŚLĄSKIE;cieszyński;Skoczów;;Strażacka;6;52.7135762;15.276397278065279
OSP Rusinowice;ŚLĄSKIE;lubliniecki;Koszęcin;Rusinowice;Piaskowa;16a;50.6441458;18.7648674
Ochotnicza Straż Pożarne Rudziniec;ŚLĄSKIE;gliwicki;Rudziniec;Rudziniec;Gliwicka;1;50.3544134;18.4085166
OSP Sadów;ŚLĄSKIE;lubliniecki;Koszęcin;Sadów;Leśna;6g;50.6731156;18.7552598
OSP Strzebiń;ŚLĄSKIE;lubliniecki;Koszęcin;Strzebiń;1 Maja;23a;50.6160207;18.9150464
Ochotnicza Straż Pożarna w Siemianowicach Śląskich;ŚLĄSKIE;Siemianowice Śląskie;Siemianowice Śląskie;Siemianowice Śląskie;Kazimierza Pułaskiego;2;50.3054299;19.02401206852713
OSP Gwoździany;ŚLĄSKIE;lubliniecki;Pawonków;Gwoździany;Spółdzielcza;11a;50.71882325;18.526337219934376
OSP Solarnia;ŚLĄSKIE;lubliniecki;Pawonków;Solarnia;Strażacka;5;50.6465696;18.6132415
Ochotnicza Straż Pożarna Pławniowice;ŚLĄSKIE;gliwicki;Rudziniec;Pławniowice;Gliwicka;91;50.38401195;18.47536354689251
OSP Łagiewniki Małe;ŚLĄSKIE;lubliniecki;Pawonków;Łagiewniki Małe;Szkolna;3;50.68233155;18.518009759549933
Komenda Powiatowa Państwowej Straży Pożarnej w Cieszynie- Jednostka Ratowniczo-Gaśnicza nr 1;ŚLĄSKIE;cieszyński;Cieszyn;Cieszyn;Chemików;16;49.7835494;18.6000035
OSP Łagiewniki Wielkie;ŚLĄSKIE;lubliniecki;Pawonków;Łagiewniki Wielkie;Strażacka;2;50.71530335;18.599696028773224
Komenda Powiatowa Państwowej Straży Pożarnej w Cieszynie - Jednostka Ratowniczo-Gaśnicza nr2;ŚLĄSKIE;cieszyński;Skoczów;Skoczów;Cieszyńska;10;49.800928;18.7867026
Komenda Powiatowa Państwowej Straży Pożarnej w Cieszynie - Jednostka Ratowniczo-Gaśnicza nr 3;ŚLĄSKIE;cieszyński;Ustroń;Ustroń;Wczasowa;12;49.6963745;18.8359236
OSP Ligota Woźnicka;ŚLĄSKIE;lubliniecki;Woźniki;Woźniki;Karola Miarki;10;50.610822;19.043166
Komenda Miejska Państwowej Straży Pożarnej w Dąbrowie Górniczej;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;Dąbrowa Górnicza;Podlesie;2;50.3271442;19.2419715
OSP Lubsza;ŚLĄSKIE;lubliniecki;Woźniki;Lubsza;Plebiscytowa;2;50.6084423;19.0016547
OSP Psary;ŚLĄSKIE;lubliniecki;Woźniki;Psary;Strażacka;1;50.6150364;18.9650202
Ochotnicza Straż Pożarna ŁOSIEŃ;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;Dąbrowa Górnicza;Gołonoska;27;50.34949745;19.329686488439684
OSP Woźniki;ŚLĄSKIE;lubliniecki;Woźniki;Woźniki;Rynek;13;50.587645249999994;19.05844436168455
Ochotnicza Straż Pożarna Okradzionów;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;Dąbrowa Górnicza;Białej Przemszy;23;50.3416964;19.3770051
Ochotnicza Straż Pożarna Strzemieszyce;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;Dąbrowa Górnicza;Strzemieszycka;393a;50.3153874;19.302884
JRG Lubliniec;ŚLĄSKIE;lubliniecki;Lubliniec;Lubliniec;PCK;10;50.6823671;18.67758229804393
Ochotnicza Straż Pożarna w Ząbkowicach;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;Dąbrowa Górnicza;Szosowa;13;50.3748891;19.2752803
Ochotnicza Straż Pożarna Trzebiesławice;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;Dąbrowa Górnicza;Modrzewiowa;47;50.426568599999996;19.25859485621693
OSP KOSTUCHNA;ŚLĄSKIE;Katowice;Katowice;Katowice;Szarych Szeregów;62;50.1926628;18.9957773
OSP CYKARZEW STARY;ŚLĄSKIE;częstochowski;Mykanów;Stary Cykarzew;Częstochowska;24;50.9535072;19.1725078
Komenda Powiatowa Państwowej Straży Pożarnej w Raciborzu;ŚLĄSKIE;raciborski;Racibórz;Racibórz;Władysława Reymonta;8;50.09411675;18.218952644354
Ochotnicza Straż Pożarna Kuźnia Raciborska;ŚLĄSKIE;raciborski;Kuźnia Raciborska;Kuźnia Raciborska;Strażacka;4;50.2008517;18.310232
Ochotnicza Straż Pożarna Siedliska;ŚLĄSKIE;raciborski;Kuźnia Raciborska;Siedliska;Leśna;1;50.6456427;17.7368536
OSP SZOPIENICE;ŚLĄSKIE;Katowice;Katowice;Katowice;Morawa;119a;50.2651575;19.1067638
Ochotnicza Straż Pożarna Ruda Kozielska;ŚLĄSKIE;raciborski;Kuźnia Raciborska;Ruda Kozielska;Wildek;2;50.2003771;18.4110498
Ochotnicza Straż Pożarna Gliwice-Brzezinka;ŚLĄSKIE;Gliwice;Gliwice;Gliwice;Zamojska;8;50.3267146;18.5724521
Ochotnicza Straż Pożarna Rudy;ŚLĄSKIE;raciborski;Kuźnia Raciborska;Rudy;Rogera;22;50.1903842;18.451539254636174
Ochotnicza Straż Pożarna Sudół;ŚLĄSKIE;raciborski;Racibórz;Racibórz;Hulczyńska;154;50.0521911;18.195289635514023
Ochotnicza Straż Pożarna Brzezie;ŚLĄSKIE;raciborski;Racibórz;Racibórz;Bitwy Olzańskiej;28;50.0715157;18.268951472249825
Ochotnicza Straż Pożarna Łańce;ŚLĄSKIE;raciborski;Kornowac;Łańce;Strażacka;2;50.0822615;18.3340653
Ochotnicza Straż Pożarna Kobyla;ŚLĄSKIE;raciborski;Kornowac;Kobyla;Główna;78;50.0905784;18.2952582
Ochotnicza Straż Pożarna Tworków;ŚLĄSKIE;raciborski;Krzyżanowice;Tworków;Główna;14;50.0083429;18.234676604425225
Ochotnicza Straż Pożarna Racibórz Markowice;ŚLĄSKIE;raciborski;Racibórz;Racibórz;Arki Bożka;20;50.10996165;18.275986142833517
Ochotnicza Straż Pożarna Jankowice;ŚLĄSKIE;raciborski;Kuźnia Raciborska;Jankowice;Raciborska;40;50.1686875;18.387569
JRG 2 CZĘSTOCHOWA;ŚLĄSKIE;Częstochowa;Częstochowa;Częstochowa;Sikorskiego;82;50.8190079;19.095870143779052
Ochotnicza Straż Pożarna w Krzanowicach;ŚLĄSKIE;raciborski;Krzanowice;Krzanowice;Morawska;20;50.01829455;18.12320726183207
Ochotnicza Straż Pożarna Cyprzanów;ŚLĄSKIE;raciborski;Pietrowice Wielkie;Cyprzanów;Janowska;33;50.0734047;18.1107104
Ochotnicza Straż Pożarna Rudnik;ŚLĄSKIE;raciborski;Rudnik;Rudnik;Mickiewicza;2;50.12650585;18.187463624968643
Ochotnicza Straż Pożarna w Pietrowicach Wielkich;ŚLĄSKIE;raciborski;Pietrowice Wielkie;Pietrowice Wielkie;Nowa;6;50.0848808;18.0929652
Ochotnicza Straż Pożarna w Nędza;ŚLĄSKIE;raciborski;Nędza;Nędza;Strażacka;2;50.1599233;18.3038946
Ochotnicza Straż Pożarna w Krzyżanowice;ŚLĄSKIE;raciborski;Krzyżanowice;Krzyżanowice;Główna;29;51.17729105;17.051151329166665
Ochotnicza Straż Pożarna w Modzurowie;ŚLĄSKIE;raciborski;Rudnik;Modzurów;Słowackiego;16;50.1562574;18.1336241
Ochotnicza Straż Pożarna w Bojanowie;ŚLĄSKIE;raciborski;Krzanowice;Bojanów;Borucka;3;50.0307823;18.162034322906223
JRG 4 Koniecpol;ŚLĄSKIE;częstochowski;Koniecpol;Koniecpol;Mickiewicza;40;50.7759551;19.6739446
OSP LELÓW II;ŚLĄSKIE;częstochowski;Lelów;Lelów;Żwirkowskiego;46;50.68796235;19.631992672722784
JRG 3 Częstochowa;ŚLĄSKIE;Częstochowa;Częstochowa;Częstochowa;Strażacka;3;50.8099365;19.128521738313285
JRG 1 Częstochowa;ŚLĄSKIE;Częstochowa;Częstochowa;Częstochowa;Rejtana;25;50.789369;19.155342
Stowarzyszenie Maltańczycy Służba Medyczna;MAŁOPOLSKIE;Nowy Sącz;Nowy Sącz;Nowy Sącz;Królowej Jadwigi;44;49.615976849999996;20.715092747854385
KP PSP Myszków;ŚLĄSKIE;myszkowski;Myszków;Myszków;Jana Pawła II;11;50.5809313;19.33400876991842
Ochotnicza Straż Pożarna w Lgocie Górnej;ŚLĄSKIE;myszkowski;Koziegłowy;Lgota Górna;Strażacka;2;50.600642;19.237113100000002
Ochotnicza Straż Pożarna w Koiegłowach;ŚLĄSKIE;myszkowski;Koziegłowy;Koziegłowy;Kościelna;2;50.598217399999996;19.1637666496786
Ochotnicza Straż Pożarna w Markowicach;ŚLĄSKIE;myszkowski;Koziegłowy;Markowice;Św. Floriana;2;50.5551615;19.170925099999998
Ochotnicza Straż Pożarna w Żarkach;ŚLĄSKIE;myszkowski;Żarki;Żarki;Ofiar Katynia;3;50.62814255;19.37233542698616
Ochotnicza Straż Pożarna w Jaworzniku;ŚLĄSKIE;myszkowski;Żarki;Jaworznik;Szkolna;37;50.6082577;19.4117973
Ochotnicza Straż Pożarna w Myszkowie - Mrzygłodzie;ŚLĄSKIE;myszkowski;Myszków;Myszków;Rynek;18;50.5409228;19.3649665
Komenda Powiatowa Państwowej Straży Pożarnej w Mikołowie;ŚLĄSKIE;mikołowski;Mikołów;Mikołów;Konstantego Prusa;7;50.1717219;18.903292
Ochotnicza Straż Pożarna w Myszkowie - Nowej Wsi;ŚLĄSKIE;myszkowski;Myszków;Myszków;Nowowiejska;2;50.601293;19.301747489686772
OSP ŚMIŁOWICE;ŚLĄSKIE;mikołowski;Mikołów;Mikołów;Górnośląska;29;50.1970768;18.8621928
OSP KAMIONKA;ŚLĄSKIE;mikołowski;Mikołów;Mikołów;Katowicka;91;50.18926945;18.92004163696766
OSP ORZESZE;ŚLĄSKIE;mikołowski;Orzesze;Orzesze;św. Wawrzyńca;13;50.145375;18.7762719
OSP PANIOWY;ŚLĄSKIE;mikołowski;Mikołów;Mikołów;Mokierska;1;50.207926;18.8219291
OSP GARDAWICE;ŚLĄSKIE;mikołowski;Orzesze;Orzesze;Katowicka;2;50.1117969;18.7967063
OSP ŁAZISKA ŚREDNIE;ŚLĄSKIE;mikołowski;Łaziska Górne;Łaziska Górne;Świętej Barbary;9;50.1434676;18.8632994
OSP WYRY;ŚLĄSKIE;mikołowski;Wyry;Wyry;Pszczyńska;76;50.1328472;18.8900942
OSP GOSTYŃ;ŚLĄSKIE;mikołowski;Wyry;Gostyń;Pszczyńska;296;50.1118506;18.8813183
OSP ORNONTOWICE;ŚLĄSKIE;mikołowski;Ornontowice;Ornontowice;Bankowa;1;50.183526;18.762675
Ochotnicza Straż Pożarna w Żarkach Letnisko;ŚLĄSKIE;myszkowski;Poraj;Żarki-Letnisko;Akacjowa;4;50.62433475;19.27721415
Ochotnicza Straż Pożarna w Choroniu;ŚLĄSKIE;myszkowski;Poraj;Choroń;;70 A;50.6818643;19.2603449
OSP ŁAZISKA GÓRNE;ŚLĄSKIE;mikołowski;Łaziska Górne;Łaziska Górne;Plac Ratuszowy;1;50.149501150000006;18.83975632205202
Ochotnicza Straż Pożarna w Niegowie;ŚLĄSKIE;myszkowski;Niegowa;Niegowa;Wojska Polskiego;2;50.641421199999996;19.4791359
Ochotnicza Straż Pożarna w Ogorzelniku;ŚLĄSKIE;myszkowski;Niegowa;Ogorzelnik;Ogorzelnik;60 B;50.6238242;19.5091474
Ochotnicza Straż Pożarna w Wadowicach;MAŁOPOLSKIE;wadowicki;Wadowice;Wadowice;Wojska Polskiego;2;49.88921;19.49199
OSP GNASZYN;ŚLĄSKIE;Częstochowa;Częstochowa;Częstochowa;Festynowa;28;50.79272495;19.0248259679353
Komisariat Wodny Policji w Krakowie;MAŁOPOLSKIE;Kraków;Kraków-Podgórze;Kraków;Tyniecka;16;50.0508603;19.9190796
JRG PSP ZABRZE;ŚLĄSKIE;Zabrze;Zabrze;Zabrze;Pawła Stalmacha;22;50.309167;18.78848807540713
Jednostka Ratowniczo - Gaśnicza PSP Nr 8 we Wrocławiu;DOLNOŚLĄSKIE;Wrocław;Wrocław-Śródmieście;Wrocław;Ołbińska;19-21;51.1238255;17.0379378
OSP Mikulczyce;ŚLĄSKIE;Zabrze;Zabrze;Zabrze;Strażacka;3;50.340409;18.77900085408252
OSP Kończyce;ŚLĄSKIE;Zabrze;Zabrze;Zabrze;Dorotki;1;50.2774377;18.79730048413127
